,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,hit_rate,cvar_95,cvar_99,avg_turnover,total_costs,cvar_breach_rate,constraint_violations,final_wealth
equal_weight,0.04924220082607933,0.061002244203977936,0.8186003091838917,0.9010726886194631,0.5098411927321768,0.096583409751959,0.5393258426966292,0.01628942532626608,0.02066538199732291,1.0915114006146202e-18,9.71445146547012e-20,0.0,0.0,1.178852033872969
inverse_vol,0.04958829218262606,0.03387301484175362,1.446290271224368,1.5993561284408833,1.207017262008635,0.04108333305863798,0.5898876404494382,0.008749773596028486,0.012026186415314163,0.010588409555143539,0.0009423684504077752,0.0,0.0,1.1801836054195631
min_variance,0.06348857969776156,0.02460754918174678,2.515151031397229,2.695658334213561,4.01329215494279,0.015819575861071744,0.6797752808988764,0.006386593874325491,0.011315406889476055,0.014167751812771046,0.0012609299113366234,0.0,0.0,1.2345495782688896
mean_variance,0.07010832747474405,0.08539046257970331,0.8358775098067524,1.0112176637417856,0.6738424148563259,0.10404261579421692,0.5617977528089888,0.019834906204225546,0.02493919731142492,0.09380848942671043,0.008348955558977227,0.0,0.0,1.2610532634689469
risk_parity,0.046605401325075624,0.06803408237159103,0.7035403673993792,0.8032927048902183,0.3469603989244062,0.13432484361199315,0.5224719101123596,0.018152885445042895,0.024150117755096075,0.08321740895584807,0.0074063493970704785,0.0,0.0,1.1687419537080967
cvar_optimizer,0.06437265641422552,0.02799228227793015,2.2438978263487503,2.3182965551219,4.069177137209569,0.015819575861071744,0.6797752808988764,0.007986426029735955,0.011315406889476055,0.01662917920056365,0.0014799969488501652,0.0,0.0,1.238066151521621
