strategy,sharpe,sharpe_ci_lo,sharpe_ci_hi,ann_return,ann_vol,max_drawdown,cvar_99,high_vol_weeks_used
min_var (pure),1.2086756179523646,0.5490350237916958,1.9342674669657027,0.028530098035672857,0.02360442918837572,0.06267042377154697,0.01210104852660096,0
con_rl (pure),0.9420347155614464,0.28770315858312284,1.67739224454617,0.039962359837348416,0.042421323946146845,0.09487765966158557,0.025215373674172082,80
hybrid (B),1.3156449543211115,0.657399663264878,2.0335211985766115,0.03469742342140947,0.026372938464476345,0.06863685476922343,0.013068616207943652,80
