crisis,trough_date,strategy,derisk_date,lead_weeks_before_trough,crisis_drawdown,crisis_cum_return,crisis_cvar_99
covid_2020,2020-03-20,constrained_rl,2020-03-06,2,0.09487765966158535,-0.010694038859064392,0.0417148722565764
covid_2020,2020-03-20,min_var,2020-03-13,1,0.0418490989643886,-0.00366030384083349,0.023115755596630427
covid_2020,2020-03-20,spy,2015-08-14,240,0.31828953717234976,-0.08284352596336586,0.14545749423989274
rates_2022,2022-10-14,constrained_rl,2020-03-06,136,0.035572436624521586,0.01249195510639245,0.0098334429433546
rates_2022,2022-10-14,min_var,2020-03-13,135,0.008787857380202824,0.005222005619824666,0.005381568688871368
rates_2022,2022-10-14,spy,2015-08-14,374,0.16027320159500658,0.060892463120036044,0.04785102578866984
