,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,hit_rate,cvar_95,cvar_99,avg_turnover,total_costs,cvar_breach_rate,constraint_violations,final_wealth
equal_weight,-0.03872446848600308,0.06719661556672668,-0.5541013270798281,-0.5041692742170036,-0.38343700576202755,0.10099303902356427,0.4807692307692308,0.021739335121383967,0.029785139786195354,0.0,0.0,0.0,0.0,0.9240506474875173
min_variance,-0.04330150871561156,0.05012146017809113,-0.8579399524073953,-0.7905450720202502,-0.3879287620392663,0.11162232077864997,0.46153846153846156,0.015918627223305407,0.021626302126757334,0.027866743313650775,0.0005796282609239361,0.0,0.0,0.915272003225825
cvar_optimizer,-0.008014503920546145,0.05708251514323508,-0.11259994681198551,-0.10816364630776061,-0.10746278331303406,0.07457934434101032,0.4807692307692308,0.01791605315634588,0.025673936037643473,0.03588208891197658,0.0007463474493691128,0.0,0.0,0.9840352244320001
rl_constrained,-0.04052634364360199,0.06811954818016396,-0.5749715101187353,-0.5146292340932105,-0.3838957206717247,0.10527200671223969,0.4903846153846154,0.02206840054173852,0.030110802158991347,0.0007772381915133301,1.6166554383477266e-05,0.0,0.0,0.9206156699322292
rl_unconstrained,-0.03955078798484848,0.06822934952280105,-0.5591367206597367,-0.502981279296155,-0.381657545124185,0.10331515177787114,0.4884615384615384,0.022056684637313754,0.03019738805698243,0.0007879213464237901,1.638876400561484e-05,0.0,0.0,0.9224905048168832
