variant,sharpe_mean,sharpe_std,cvar_99_mean,breach_rate_mean,breach_rate_std,final_lam_mean
buggy,0.9867574237431711,0.027525204050629085,0.025367743351001164,0.07906976744186046,0.0,0.02153517218282223
fixed,0.911349664502844,0.04384340865008265,0.02807390142676146,0.7506976744186046,0.03315075289526596,0.10114276851341167
unconstrained,0.6261273611275925,0.08727167919320689,0.06471059627458939,1.0,0.0,0.0
