ablation,anchor,alpha,limit,objective,sharpe,cvar_95,cvar_99,max_drawdown,avg_turnover
base,inverse_vol,0.95,0.012,return,0.8648326269801048,0.017666971368958853,0.030070067026358935,0.11080252184280248,0.03913562967580832
no_anchor,,0.95,0.012,return,0.8264510508839308,0.017967863626328847,0.03175610685774447,0.10755571319080559,0.001657316835631748
alpha_0.90,inverse_vol,0.9,0.012,return,0.6843131652391103,0.024855180041061225,0.04522507408466659,0.17247891094715212,0.03632585638398478
alpha_0.99,inverse_vol,0.99,0.012,return,1.250836760004008,0.009766105453195513,0.014586230630939055,0.05328157103715275,0.03365890932543417
budget_tight,inverse_vol,0.95,0.0072,return,1.2722720360127575,0.009168793169985003,0.013522640117305093,0.04112102758974584,0.029616726118555384
budget_loose,inverse_vol,0.95,0.019200000000000002,return,0.5146018510583219,0.03015251450381419,0.049325803211486434,0.2299675283680448,0.020734691377877194
objective_sharpe,inverse_vol,0.95,0.012,sharpe,0.7906968525999252,0.016617263883223727,0.027284044008208427,0.10766854901937489,0.043526003461475185
